"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2020","2020",61.19,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2014","2014",31.23,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2016","2016",22.19,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2018","2018",33.48,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2020","2020",67.16,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2014","2014",30.58,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2016","2016",32.86,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2018","2018",42.04,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2020","2020",74.47,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2014","2014",35.95,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2016","2016",23.43,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2018","2018",18.23,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2020","2020",57.98,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2014","2014",34.8,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2016","2016",25,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2018","2018",22.13,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2020","2020",62.55,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2014","2014",32.16,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2016","2016",26.72,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2018","2018",27.68,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2020","2020",70.37,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W100_249","100-249","2014","2014",34.01,,
